EID,CaptureTime,SUID,Event,Version,WireName,Headline,TimeOfArrival,LanguageString,Web_URL,Hot_Level,TimeOfUpdate,AssignedTickersId,AssignedTickersScore,Assigned_ID_BB_GLOBAL_COMPANY,Assigned_ID_BB_GLOBAL,AssignedTopicsId,Assigned_Topics_Score,AssignedPeopleId,AssignedPeopleScore,DerivedTickersId,DerivedTickersScore,Derived_ID_BB_GLOBAL_COMPANY,Derived_ID_BB_GLOBAL,DerivedTopicsId,DerivedTopicsScore,DerivedPeopleId,DerivedPeopleScore
80001,2021-04-11T21:58:29.916+00:00,QR583QHHWW74,UPDATE_ATTRIBUTE,ORIGINAL,BFW,*EFFECTIVE FED FUNDS RATE 0.07% APRIL 5 VS 0.07% APRIL 2,2021-04-06T12:59:50.523+00:00,ENGLISH,,0,2021-04-11T21:58:29.803+00:00,,,,,BIZNEWS;UST;MSCIWORLD;NORTHAM;USGOV;ACEXCLUDE;BUSINESS;HEADS;FEDFND;G7ECOS;MARKETS;GOV;US;BFWFI;USECO;BFWRATE;GOVMISC;FXKEY;CMP;CEN;CECO;ECO;BFWRTUS;MSCINAMER;FINNEWS;HEADGEN;SOFR;FED;MMK;FIRSTWORD;RP;BON;BFW;BFWFX;CMPAUTO,70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70,3224929,70,%USD,95,,,METALKEY;BIZNEWS;UST;MSCIWORLD;NORTHAM;GLOBALMACR;USGOV;ACEXCLUDE;DEBTKEY;BUSINESS;G7MEMB;BONDWIRES;HEADS;FEDFND;NOB;MISC;BFWFOCUS;G7ECOS;FIALL;USB;MARKETS;GOV;DCM;US;BFWFI;REGIONFILT;CREDITKEY;EQUITYKEY;INTERBANK;AGRKEY;USECO;BFWRATE;BGOVBILLGO;WORLD;GOVMISC;FXKEY;DEVECO;CMP;OILKEY;CEN;G10MEMB;FISUB;BROKERLITE;MTGEKEY;CAPITALMKT;CMDKEY;CECO;SRCRANK1;ECO;BFWRTUS;MSCINAMER;BGOVCODES;FINNEWS;HEADGEN;CBRATES;BZNEWS;SOFR;DC;FLASHG7;LOANS;FED;MONETARY;MMK;SPREGIONS;POLIRISK;NRGKEY;FIRSTWORD;CMDGLOMAC;RP;BON;BFW;G8;RATESKEY;BONMISC;GBN;FIASST;BFWFX;CBM;CMPAUTO,99;100;70;100;100;100;100;70;100;100;100;100;100;100;70;100;100;100;100;70;100;100;70;100;100;99;100;100;100;99;91;100;100;100;100;100;100;100;99;100;100;100;99;100;70;99;100;100;100;100;100;100;100;100;100;99;70;100;99;70;70;99;100;100;100;99;100;99;100;100;100;99;100;100;70;100;100;70;100,3224929,70
80001,2021-06-05T17:19:26.284+00:00,QU7WO1DWRGG5,UPDATE_ATTRIBUTE,ORIGINAL,BN,Manchester United Will Allow Soccer Fans to Buy Shares in Club,2021-06-05T10:13:27.856+00:00,ENGLISH,,0,2021-06-05T17:19:26.076+00:00,MANU,95,BBG0035WV4M0,BBG0035WV4N9,CORPFIN;UKTOP;SPWWTOP;BIZNEWS;MSCIWORLD;ONWEB;BUSINESS;ALLWWCUR;GENTOPZ3;UKTOPZ3;READ100;MNA;MANUTD;EURTOP;TOPSPT;BFWUS;READ25;WWTOP;GENTOP;TOP;SOCCER;SPORTS;ALLTOP;EUROPE;BFBNEWS;READ50;CACT;COS;COEVNT;FINNEWS;BFWEQ;SPWWTOPZ2;READ;EUFEAT;UKTOPZ2;BFBTEAMS;UK;ORIGINAL;WWTOPFEAT;MSCIDVEUR;BFBALL;WWTOPEU,70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70,19241440;20280148;21061455;4647565,70;70;70;70,MANU,96,BBG0035WV4M0,BBG0035WV4N9,CORPFIN;UKTOP;SPWWTOP;BIZNEWS;MSCIWORLD;EQTY;ONWEB;BUSINESS;ALLWWCUR;G7MEMB;BONDWIRES;GENTOPZ3;UKTOPZ3;MISC;BFWFOCUS;MISCCOS;HLDUP;READ100;MNA;MANUTD;EURTOP;EMEAREGION;EQUITYKEY;TOPSPT;BFWUS;READ25;BGOVBILLGO;WWTOP;GENTOP;MAJOR;TOP;WORLD;COMMONW;SOCCER;DEVECO;G10MEMB;SPORTS;ALLTOP;EUROPE;BFBNEWS;READ50;CACT;TIMENI;HLDCHG;COS;SRCRANK1;TIMECO;COEVNT;BGOVCODES;FINNEWS;BFWEQ;HOLDINGS;SPWWTOPZ2;SPREGIONS;READ;EUFEAT;FIRSTWORD;UKTOPZ2;BFBTEAMS;UK;ORIGINAL;WWTOPFEAT;MSCIDVEUR;BFBALL;WEU;WWTOPEU,100;100;100;100;100;100;100;100;100;95;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;95;100;95;95;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;95;100;100;100;100;95;100,19241440;20280148;21061455;4647565,70;70;70;70
80178,2020-10-31T08:53:51.680+00:00,QJ261RMB2SJL,ADD_STORY,ORIGINAL,NS6,"NDTV: ""Which Post Star Campaigner Has?"": Kamal Nath On Election Body's Decision",2020-10-31T08:53:51.488+00:00,ENGLISH,https://www.ndtv.com/india-news/madhya-pradesh-bypolls-kamal-nath-on-election-bodys-decision-on-revoking-star-campaigner-status-which-post-star-campaigner-has-2318537?pfrom=home-topscroll,0,2020-10-31T08:53:51.500+00:00,,,,,,,,,,,,,BIZNEWS;MSCIWORLD;INDGOV;ASIAX;ELECT;MISC;GOV;BRIC;INDPAR;POL;WORLD;COMMONW;GEN;ESGRES;MSCIEMAS;INMONEY;SRCRANK3;INDIA;SPREGIONS;POLIRISK;EM;INEQUITY;ASIA;SEASIA,95;50;50;75;89;100;95;50;50;89;75;50;89;99;50;50;100;50;75;95;50;50;50;50,,
80178,2021-02-26T09:34:07.704+00:00,QP4O1GMB2SJM,UPDATE_ATTRIBUTE,ORIGINAL,NS5,El Mundo: Cataluña permitirá la apertura de los centros comerciales con limitaciones tras estar casi dos meses cerrados por el,2021-02-26T08:39:16.395+00:00,SPANISH,https://www.elmundo.es/cataluna/2021/02/26/6038a72f21efa0523e8b4578.html,0,2021-02-26T09:34:07.475+00:00,,,,,,,,,,,,,VIRALILL;GENHEA;MISC;INFECT;ILLNESS;SRCRANK2;CORONAVIR,74;74;100;74;74;100;50,,
80001,2020-12-22T22:32:25.957+00:00,QLLQWQT1UM1J,UPDATE_ATTRIBUTE,ORIGINAL,BN,*BIDEN SAYS HE WILL REJOIN THE PARIS CLIMATE ACCORD,2020-12-19T19:46:02.901+00:00,ENGLISH,,0,2020-12-22T22:32:25.854+00:00,,,,,BIZNEWS;MSCIWORLD;NORTHAM;USGOV;ACEXCLUDE;INR;ALTNRG;NRG;ENV;HEADS;GOV;CLIMATE;US;EXE;EPA;RIF;NRGIND;MSCINAMER;WIND;ERG,70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70,13387985;16973612;20604234,70;70;70,,,,,BIZNEWS;MSCIWORLD;NORTHAM;GLOBALMACR;USGOV;ACEXCLUDE;DEBTKEY;BUSINESS;INR;ALTNRG;G7MEMB;BONDWIRES;NRG;ENV;HEADS;MISC;GOV;CMD;CLIMATE;US;CREDITKEY;EQUITYKEY;EXE;BGOVBILLGO;WORLD;FXKEY;INDUSTRIES;DEVECO;EPA;G10MEMB;RIF;GEN;NRGIND;CMDKEY;COS;SRCRANK1;MSCINAMER;BGOVCODES;DC;SPREGIONS;POLIRISK;NRGKEY;WIND;RATESKEY;ERG,100;100;100;100;100;70;100;100;70;91;100;100;100;91;100;100;100;100;70;100;100;100;70;100;100;100;100;100;70;100;100;70;100;100;100;100;100;100;100;100;100;100;70;100;70,13387985;16973612;20604234,70;70;70
80178,2021-01-23T09:43:54.059+00:00,QNDSD5MB2SJR,ADD_STORY,ORIGINAL,NS5,YLE (RU): Случаи выхода на пенсию по нетрудоспособности участились по,2021-01-23T09:43:53.916+00:00,RUSSIAN,https://yle.fi/uutiset/osasto/novosti/sluchai_vykhoda_na_pensiyu_po_netrudosposobnosti_uchastilis_po_prichine_depressii/11752299,0,2021-01-23T09:43:53.922+00:00,,,,,,,,,,,,,MISC;SRCRANK3,100;100,,
80001,2021-10-02T18:35:11.767+00:00,R0D3SFT0G1KW,ADD_STORY,UPDATE,BN,"Tesla Delivers ‘Eye Popping’ 241,300 Cars in Record Quarter (1)",2021-10-02T18:35:11.463+00:00,ENGLISH,,0,2021-10-02T18:35:11.481+00:00,TSLA,95,BBG001FW1Z83,BBG000N9MNX3,AUP;PLUGINEV;READSPIKE;READ25;READ50;READ150;READ250;READ500;READ700;READ100;READ1000;BERLIN;BIZNEWS;MSCIWORLD;NORTHAM;MANU;ONWEB;ASIAX;BUSINESS;ALTNRG;MOSTREAD;US;UPDATE;NASIA;USWE;BRIC;TX;CA;NRGIND;GLOBLEAD;MSCIEMAS;AUTODEAL;CHINA;HYPERDRIVE;COS;MSCINAMER;FINNEWS;BFWEQ;SHANGHAI;AUT;READ;SUPPLY;EM;USSW;ELQ;ASIA,70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70,1711484;17153377;18985841;20936800;21450407;3704239,70;70;70;70;70;70,GM;TSLA,75;98,BBG001H7DSH9;BBG001FW1Z83,BBG000NDYB67;BBG000N9MNX3,SRCRANK1;AUP;PLUGINEV;US;FXKEY;METALKEY;BUSINESS;SHANGHAI;BGOVBILLGO;CMD;CONSD;WWTOPGLOB;MSCINAMER;BFWEQ;WORLD;PADDIST;READ150;EM;EQUITYKEY;WWTOPLEAD;READ25;ASIA;G10MEMB;MTGEKEY;NORTHAM;MOSTREAD;EMC;CA;CEU;DEVECO;AUT;NRGIND;READSPIKE;WEU;READ100;MANU;WWTOP;SUPPLY;TRN;EMEAREGION;TIMECO;MISCCOS;SPREGIONS;ALLTOP;PADD5;BONDWIRES;READ700;G7MEMB;CHINA;OILKEY;FINNEWS;DEBTKEY;ALTNRG;ONWEB;MSCIDVEUR;USSW;AUTODEAL;CMDKEY;USWE;CREDITKEY;RATESKEY;READ50;COS;BERLIN;MSCIWORLD;MSCIEMAS;GLOBALMACR;READ250;UPDATE;NASIA;GER;READ500;TEC;READ;MISC;ELC;INDUSTRIAL;TIMENI;CMDGLOMAC;MAJOR;INDUSTRIES;RUNEWS;NRGKEY;EUROPE;UTI;CONS;ELQ;REGIONFILT;AUTOMOTIVE;BRIC;READ1000;ASIAX;ALLSTATES;BIZNEWS;NRG;EQTY;METRO;BGOVCODES;SRCRANK1;PADD3;FIRSTWORD;AGRKEY;GLOBLEAD;HYPERDRIVE;TX;RETD,100;70;98;98;98;100;100;70;100;100;100;100;100;100;100;91;100;98;100;100;100;98;100;100;100;100;100;70;100;100;100;100;100;100;100;100;100;70;100;100;100;70;100;100;70;100;100;100;91;100;100;98;70;100;100;91;90;100;100;98;98;100;100;100;100;100;98;100;100;98;100;100;100;100;100;49;100;100;100;100;100;100;100;100;49;100;70;100;100;98;100;100;91;100;100;100;100;100;100;70;100;100;100;100;70;90,1954518;1711484;17153377;18985841;20936800;21450407;3704239,95;70;70;70;70;70;70
80001,2021-01-09T03:00:25.814+00:00,QMNAE9DWLU68,ADD_STORY,ORIGINAL,JBN,トランプ氏「われわれは沈黙しない」－大統領アカウントからツイート,2021-01-09T03:00:25.576+00:00,JAPANESE,,0,2021-01-09T03:00:25.585+00:00,TWTR,95,BBG001HFZ337,BBG000H6HNW3,BFWDCHOT;BIZNEWS;MSCIWORLD;NORTHAM;FIN;USGOV;BUSINESS;TMT;MARKETS;GOV;US;JFWFX;USWE;KAISHA;EXE;CA;POL;TEC;JFALL;JFCO;GAIKABU;BNK;FRX;COS;INTERNET;MSCINAMER;FINNEWS;JNEWS;BFWJN;TOPBFW;BFWJP;SCR;SOCIALNET;ORIGINAL;LLTRANS;JFRX,70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70,1252249;16219030;16219032;17106381;7564212,70;70;70;70;70,TWTR,96,BBG001HFZ337,BBG000H6HNW3,BFWDCHOT;BIZNEWS;MSCIWORLD;NORTHAM;GLOBALMACR;EQTY;FIN;USGOV;JBN;DEBTKEY;CPNYCNT1;BUSINESS;G7MEMB;TMT;MISC;BFWFOCUS;MARKETS;BFWGOV;GOV;US;JFWFX;CREDITKEY;EQUITYKEY;USWE;KAISHA;EXE;CA;BGOVBILLGO;MAJOR;POL;PADDIST;WORLD;FXKEY;INDUSTRIES;DEVECO;TEC;INSTFIN;G10MEMB;JFALL;GEN;BFWDC;JFCO;GAIKABU;BNK;FRX;COS;SRCRANK1;INTERNET;PADD5;MSCINAMER;BGOVCODES;FINNEWS;BFWEQ;JNEWS;BFWJN;DC;TOPBFW;SPREGIONS;POLIRISK;BFWJP;SCR;FIRSTWORD;JPALL;SOCIALNET;ORIGINAL;ALLSTATES;RATESKEY;LLTRANS;JFRX,100;100;100;100;100;100;98;91;100;100;100;100;100;100;100;100;91;100;100;100;100;100;100;100;100;70;70;100;100;70;70;100;100;100;100;98;70;100;100;91;100;100;100;70;70;100;100;91;70;100;100;100;100;100;100;100;100;100;100;100;70;100;100;70;100;70;100;100;70,1252249;16219030;16219032;17106381;7564212,70;70;70;70;70
80001,2020-12-10T12:00:00.098+00:00,QL4FDVDWLU6G,ADD_STORY,ORIGINAL,BFW,"*CONAB VÊ PROD MILHO EM 102,6 MI T 2020-21; EST. ANT. 104,9 MI T",2020-12-10T12:00:00.017+00:00,PORTUGUESE,,0,2020-12-10T12:00:00.211+00:00,,,,,BIZNEWS;GRN;ACEXCLUDE;BUSINESS;HEADS;BRICECO;AGMARKET;BZECO;MARKETS;FOD;LATAM;CMD;LATECO;BRIC;CMDX;BRAZIL;RIF;CACT;AGR;CECO;COS;ECO;CMDMARKET;FINNEWS;CORN;EM;FIRSTWORD;BFW;SOUTHAM;SOY;FBR,70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70,15149116,70,3623299ZBZ,100,BBG001GP5MP3,BBG000QZRCS7,BIZNEWS;MSCIWORLD;GRN;ACEXCLUDE;CPNYCNT1;BUSINESS;BONDWIRES;CONS;HEADS;MSCILATAM;BRICECO;MISC;AGMARKET;HOU;BZECO;MARKETS;FOD;LATAM;CMD;LATECO;REGIONFILT;BRIC;AGRKEY;CMDX;BGOVBILLGO;WORLD;CMDMISC;INDUSTRIES;BNLANG;BRAZIL;RIF;CONSS;CACT;AGR;CMDKEY;CECO;COS;SRCRANK1;PROTEIN;ECO;CMDMARKET;BGOVCODES;FINNEWS;CORN;BZNEWS;PBN;SPREGIONS;OILSEED;EM;FIRSTWORD;BFW;SOUTHAM;SOY;FBR,100;99;91;70;100;100;100;70;100;99;100;100;100;70;95;100;70;100;100;99;100;100;100;100;100;100;100;100;100;99;100;70;100;97;100;100;100;100;100;100;100;100;100;70;100;100;100;70;100;100;100;100;70;100,15149116,70
80178,2021-07-08T10:40:29.133+00:00,QVX9NGMB2SJY,ADD_STORY,ORIGINAL,NS7,El Intransigente: ¿Y ahora qué pasó? Boca lo tenía cerrado como refuerzo y se cayó el pase,2021-07-08T10:40:28.913+00:00,SPANISH,https://elintransigente.com/2021/07/y-ahora-que-paso-boca-lo-tenia-cerrado-como-refuerzo-y-se-cayo-el-pase/,0,2021-07-08T10:40:28.918+00:00,,,,,,,,,,,,,MISC;SRCRANK3,100;100,,
80001,2021-04-21T16:38:24.662+00:00,QRXA80GFR4SG,ADD_STORY,ORIGINAL,BN,CalSTRS Backs American Water on 13 of 13 Proposals at May 12 AGM,2021-04-21T16:38:24.295+00:00,ENGLISH,,0,2021-04-21T16:38:24.301+00:00,AWK,95,BBG001H35DF2,BBG000TRJ294,BIZNEWS;MSCIWORLD;NORTHAM;WAT;BUSINESS;US;PROXY;NJ;CMP;UTI;USMA;PREPROXY;COS;SHRHOLD;MSCINAMER;FINNEWS;GENMEET;ORIGINAL;CMPAUTO,70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70,,,AWK,95,BBG001H35DF2,BBG000TRJ294,PAY;BIZNEWS;MSCIWORLD;NORTHAM;WAT;CPNYCNT1;BUSINESS;G7MEMB;BNEFNWTR;BONDWIRES;NRG;MISC;MISCCOS;CMD;US;EQUITYKEY;PROXY;BGOVBILLGO;ESGCONTROV;NJ;MAJOR;PADDIST;WORLD;INDUSTRIES;DEVECO;CMP;UTI;G10MEMB;USMA;ESGRES;PREPROXY;BNEFRESRCH;CMDKEY;COS;SRCRANK1;SHRHOLD;COEVNT;MSCINAMER;BGOVCODES;FINNEWS;NEWSROOMBA;GENMEET;CORPGOV;SPREGIONS;NRGKEY;ESGGOV;ESG;ORIGINAL;ALLSTATES;PADD1;CMPAUTO,60;100;100;98;70;100;100;91;100;100;91;100;88;91;91;100;70;100;60;70;100;70;100;91;91;100;91;91;91;60;100;100;91;100;100;91;88;100;100;100;100;70;98;100;91;98;98;100;70;70;100,15901564;16447533;16716176,95;95;70
80001,2021-05-02T21:39:30.505+00:00,QSCFTLDWRGG8,UPDATE_ATTRIBUTE,ORIGINAL,BN,"*MEGACABLE 1Q REV. MXN5.95B, EST. MXN5.95B",2021-04-29T21:03:21.539+00:00,ENGLISH,,0,2021-05-02T21:39:30.395+00:00,MEGACPO@MM,70,BBG001GZYDW1,BBG000TQVWC2,BIZNEWS;ERN;ACEXCLUDE;BUSINESS;HEADS;LATAM;MED;CMP;MEX;COS;FINNEWS;EM;CMPAUTO,70;70;70;70;70;70;70;70;70;70;70;70;70,,,MEGACPO@MM,96,BBG001GZYDW1,BBG000TQVWC2,MINT;BIZNEWS;MSCIWORLD;NORTHAM;ERN;ACEXCLUDE;CPNYCNT1;BUSINESS;BONDWIRES;TMT;HEADS;MSCILATAM;MISC;LATAM;REGIONFILT;MED;EQUITYKEY;BGOVBILLGO;WORLD;INDUSTRIES;CMP;MEX;MXNEWS;COS;SRCRANK1;BGOVCODES;FINNEWS;SPREGIONS;EM;CMPAUTO,70;100;70;70;100;70;100;100;100;70;100;70;100;91;100;70;100;100;98;70;100;70;100;100;100;100;100;98;98;100,,
80001,2020-10-25T22:06:54.409+00:00,QILHW2T0AFB5,UPDATE_ATTRIBUTE,ORIGINAL,BFW,*TRAFIGURA HAS ACQUIRED OVER 3% OF SARAS,2020-10-22T08:50:26.808+00:00,ENGLISH,,0,2020-10-25T22:06:54.246+00:00,SRS@IM;1201138DNT,95;70,BBG001FLC3Q6;BBG005YZD6S5,BBG000BZGLM1;BBG007NGXS41,BIZNEWS;MSCIWORLD;ACEXCLUDE;ITALY;NRG;MMN;HEADS;OIL;READ100;BNSCOOP;READ25;RIF;ALLTOP;EMC;EUROPE;READ50;SENTIMENT;MNASCOOP;POSNEWS;TOPBFW;READ;FIRSTWORD;OILIND;BFW;MSCIDVEUR,70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70,7109923,70,SRS@IM;1201138DNT,96;95,BBG001FLC3Q6;BBG005YZD6S5,BBG000BZGLM1;BBG007NGXS41,CORPFIN;BIZNEWS;MSCIWORLD;EQTY;ACEXCLUDE;ITALY;CPNYCNT1;BUSINESS;G7MEMB;MNAFLASH;BONDWIRES;NRG;MMN;HEADS;OIL;MISC;MISCCOS;ITNEWS;READ100;CMD;MNAEVENT;MNA;REGIONFILT;EMEAREGION;EQUITYKEY;BNSCOOP;OILGASCOAL;READ25;BGOVBILLGO;WORLD;INDUSTRIES;DEVECO;G10MEMB;RIF;ALLTOP;NRGIND;EMC;EUROPE;READ50;CACT;SENTIMENT;CMDKEY;COS;SRCRANK1;TIMECO;COEVNT;BGOVCODES;MNASCOOP;POSNEWS;TOPBFW;SPREGIONS;READ;NRGKEY;FIRSTWORD;OILIND;BFW;MSCIDVEUR;WEU,100;100;100;100;70;70;100;100;70;99;100;100;100;100;97;100;100;99;100;100;100;100;99;91;100;100;97;100;100;100;70;70;70;100;100;70;91;91;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;70;100;100;70,7109923,70
80001,2021-01-30T01:34:04.288+00:00,QNQ3UPT0AFH5,ADD_STORY,ORIGINAL,BFW,"Mexico Reports 16,374 New Covid-19 Cases, 1,434 More Deaths",2021-01-30T01:34:04.071+00:00,ENGLISH,,0,2021-01-30T01:34:04.078+00:00,,,,,BIZNEWS;VIRALILL;BUSINESS;GENHEA;GOV;LATAM;LATECO;BFWEM;INFECT;ILLNESS;CORONAVIR;MEX;CECO;ECO;FINNEWS;MXECO;EM;FIRSTWORD;BFW;ORIGINAL,70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70,18829442;21723045,70;70,,,,,MINT;BIZNEWS;MSCIWORLD;NORTHAM;VIRALILL;ASIAX;BUSINESS;BONDWIRES;DRG;GENHEA;MSCILATAM;MISC;BFWFOCUS;GOV;LATAM;LATECO;BFWEM;INFECT;REGIONFILT;ILLNESS;HEA;BGOVBILLGO;MAJOR;CORONAVIR;WORLD;INDUSTRIES;VACCINE;MEX;CECO;MXNEWS;COS;SRCRANK1;ECO;BGOVCODES;FINNEWS;SPREGIONS;POLIRISK;MEDICAL;MXECO;EM;FIRSTWORD;BFW;ORIGINAL,91;100;91;91;100;50;100;100;88;100;91;100;100;70;98;91;100;100;100;100;88;100;100;100;100;88;75;91;98;100;88;100;100;100;100;100;70;75;70;100;100;100;100,18829442;21723045,70;70
80001,2021-08-23T21:35:03.982+00:00,QY4C12C2Z6YO,UPDATE_ATTRIBUTE,ORIGINAL,BN,*MORE THAN 50M PEOPLE IN JAPAN FULLY VACCINATED: FNN,2021-08-20T03:22:14.493+00:00,ENGLISH,,0,2021-08-23T21:35:03.867+00:00,,,,,BIZNEWS;MSCIWORLD;SUM;ACEXCLUDE;VIRALILL;BUSINESS;TMT;GENHEA;HEADS;INFECT;ILLNESS;JAPAN;CORONAVIR;TEC;MSCIDVAS;VACCINE;COS;INTERNET;FINNEWS;RLSHEAD;ASIA,70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70,4850485,70,,,,,BIZNEWS;MSCIWORLD;SUM;ACEXCLUDE;VIRALILL;BUSINESS;G7MEMB;BONDWIRES;TMT;DRG;GENHEA;HEADS;MISC;INFECT;ILLNESS;EQUITYKEY;HEA;BGOVBILLGO;JAPAN;CORONAVIR;WORLD;INDUSTRIES;DEVECO;TEC;MSCIDVAS;G10MEMB;VACCINE;COS;SRCRANK1;INTERNET;BGOVCODES;FINNEWS;SPREGIONS;RLSHEAD;MEDICAL;ASIA,100;100;100;70;100;100;70;100;100;95;100;100;100;100;100;100;95;100;70;100;100;100;70;91;100;70;95;100;100;70;100;100;100;100;95;91,4850485,70
80001,2021-02-10T02:14:32.162+00:00,QOAG09T1UM0W,UPDATE_ATTRIBUTE,ORIGINAL,BFW,太平洋セメ株11カ月ぶり下落率、自己株取得の発表なくネガティブの声,2021-02-10T02:14:26.939+00:00,JAPANESE,,0,2021-02-10T02:14:32.044+00:00,5233@JP,95,BBG001FFDS01,BBG000BG9GS6,BIZNEWS;MSCIWORLD;BUSINESS;GARASU;JMALL;CEM;KIGYO;JAPAN;KABU;MSCIDVAS;MEIGARA;SENTIMENT;PAC;COS;FINNEWS;BLD;BFWJN;POSNEWS;BFWJP;FIRSTWORD;BFW;ORIGINAL;ASIA,70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70,15046061;1711148;17478434,70;70;70,5233@JP,95,BBG001FFDS01,BBG000BG9GS6,MINT;BIZNEWS;MSCIWORLD;EQTY;STKMOV;JBN;BBK;ASIAX;BUSINESS;G7MEMB;INDO;BONDWIRES;MKTMISC;MISC;GARASU;BFWFOCUS;MISCCOS;MARKETS;JMALL;BBKNEW;CEM;BASIC;KIGYO;EQUITYKEY;BGOVBILLGO;JAPAN;KABU;MAJOR;WORLD;INDUSTRIES;DEVECO;MSCIDVAS;G10MEMB;MSCIEMAS;KOBETSU;CACT;STK;MEIGARA;SENTIMENT;PAC;COS;SRCRANK1;COEVNT;POSITIVE;BGOVCODES;FINNEWS;BLD;BFWEQ;BFWJN;POSNEWS;SPREGIONS;BFWJP;EM;FIRSTWORD;ALLMOV;JPALL;BFW;ORIGINAL;ASIA;SEASIA,79;100;100;100;100;100;100;79;100;70;79;100;100;100;100;100;99;100;100;99;70;98;100;100;100;70;100;100;100;98;70;100;70;79;100;100;100;100;100;70;100;100;99;99;100;100;91;100;100;100;100;100;79;100;100;100;100;100;99;79,15046061;1711148;17478434,70;70;70
80001,2020-11-30T12:09:49.239+00:00,QKLZ4DT0AFB9,ADD_STORY,ORIGINAL,BN,U.S. Latest Treasury Auction Statistics (Table),2020-11-30T12:09:49.149+00:00,ENGLISH,,0,2020-11-30T12:09:49.156+00:00,,,,,BIZNEWS;MSCIWORLD;NORTHAM;ECOSTAT;GNI;USGOV;BUSINESS;ILN;NEWBON;NOB;USB;MARKETS;GOV;US;TABLE;AUC;TREBB;TRE;ECO;MSCINAMER;FINNEWS;BON;ORIGINAL;GBN;CBM;FINMIN,70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70,16128363;16364338;2532459,70;70;70,,,,,BIZNEWS;MSCIWORLD;NORTHAM;ECOSTAT;GNI;FIRPT;USGOV;DEBTKEY;BUSINESS;G7MEMB;ILN;NEWBON;NOB;MISC;FIALL;USB;MARKETS;GOV;US;TABLE;CREDITKEY;AUC;TREBB;WORLD;FXKEY;DEVECO;G10MEMB;FISUB;TRE;SRCRANK1;ECO;MSCINAMER;FINNEWS;DC;SPREGIONS;POLIRISK;BON;ISSUE;ORIGINAL;RATESKEY;GBN;FIASST;CBM;FINMIN,100;100;100;70;91;98;91;100;100;100;70;98;91;100;100;70;100;100;100;70;70;70;70;100;70;100;100;100;70;100;91;100;100;91;100;100;100;98;100;100;100;100;100;91,16128363;16364338;2532459,70;70;70
